"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度","縄文時代"
1310900100,13109,"1","かみおおさきかいづか","上大崎貝塚","品川区 上大崎一丁目","[縄文時代]","貝塚","","縄文土器　石器",139.72184,35.6351312,"1"
1310900200,13109,"2","","品川区No.2遺跡","品川区 東五反田一丁目","[縄文時代？]","包蔵地","","縄文土器?　石器",139.7272116,35.62867904,"1"
1310900300,13109,"3","","品川区No.3遺跡","品川区 東五反田三丁目","縄文時代（前期）]","包蔵地","","縄文土器",139.728664,35.62745086,"1"
1310900400,13109,"4","いけだやまきたいせき","池田山北遺跡","品川区 東五反田五丁目","[縄文時代（早期～中期）][弥生時代（後期）]","包蔵地・貝塚・集落","[縄文時代（早期～前期）]住居址　炉跡　貝層　[縄文時代]住居跡　炉跡　土坑　[縄文時代（前期）]～[弥生時代（後期）]竪穴式住居　土坑　[弥生時代]住居跡　炉跡　土坑　溝　[古墳時代]住居跡　土坑","縄文土器　打斧　磨斧　石皿　けつ状耳飾　弥生土器　磁器　燈明皿　擂鉢　動物遺体　打製石斧　耳飾　土器　土師器　石製耳飾",139.7229069,35.63109445,"1"
1310900500,13109,"5","","品川区No.5遺跡","品川区 東五反田五丁目","[縄文時代]","包蔵地","","縄文土器　打斧　石鏃",139.7240026,35.62985034,"1"
1310900600,13109,"6","","品川区No.6遺跡","品川区 西五反田一丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.7229391,35.62535828,"1"
1310900800,13109,"8","ごてんやまいせき","御殿山遺跡","品川区 北品川五丁目","[縄文時代（前期）][弥生時代]","包蔵地","[弥生時代]住居跡　土坑　[古墳時代]住居跡　土坑　住居跡　炉穴","縄文土器　弥生土器　古墳土師器　須恵器",139.7337182,35.62050855,"1"
1310900900,13109,"9","きりがやいせき","桐ヶ谷遺跡","品川区 西五反田五丁目","[縄文時代（早期）]","包蔵地","","縄文土器",139.7139841,35.62207916,"1"
1310901000,13109,"10","いるきばしいせき","居木橋遺跡","品川区 大崎二丁目","[縄文時代（早期～後期）][弥生時代][中世]","集落跡・貝塚","[縄文時代]住居　土坑　ピット　[中世]溝","縄文土器　打斧　磨斧　石皿　耳飾　石棒　骨角製釣針　鯨骨製棒状骨角器　獣魚骨　弥生土器　抉入石斧　陶磁器　動物遺体",139.7245685,35.61720399,"1"
1310901200,13109,"12","（おおい）ごんげんだいかいづか","(大井)権現台貝塚","品川区 広町二丁目","[縄文時代（後期～晩期）]","貝塚","","縄文土器　打斧　磨斧　硬玉大珠　石棒　土偶　土版　骨角器　獣骨",139.7343964,35.60833955,"1"
1310901300,13109,"13","せんだいざかいせき","仙台坂遺跡","品川区 東大井四丁目","[縄文時代（後期）][古墳時代][奈良時代][平安時代][近代]","包蔵地・屋敷・その他（工場跡）","[近世]ピット　土坑　石垣","縄文土器　石器　石弾　土錘　石棒　自然遺物　土師器　陶磁器　瓦　土製品　土錘　鉄製品　煙管　銭貨　ガラス製品　蝋石　獣骨",139.7403673,35.60697621,"1"
1310901400,13109,"14","さいこうじかいづか","西光寺貝塚","品川区 大井四丁目","[縄文時代（中期～後期）][古墳時代]","貝塚・包蔵地","","縄文土器　打斧　須恵器",139.7328131,35.60031371,"1"
1310901500,13109,"15","おおいかしまいせき","大井鹿島遺跡","品川区 大井五丁目","[縄文時代][古墳時代][奈良時代][近世]","包蔵地・集落","[古墳時代][奈良時代]竪穴式住居跡　[近世]土坑　室状遺構","縄文土器　土師器　須恵器　陶磁器　紡錘車　土錘　釘　煙管　銭貨",139.7301397,35.59667274,"1"
