JAID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,経度,緯度
1311400100,13114,1,,中野区№1遺跡,中野区 白鷺一丁目,[縄文時代（前期）],包蔵地,,縄文土器,139.6382068,35.72144459
1311400200,13114,2,さぎのみやはちまんじんじゃいせき,鷺の宮八幡神社遺跡,中野区 白鷺一丁目,[旧石器時代][縄文時代（中期～後期）],集落跡,[旧石器時代]礫群,縄文土器　打製石斧　凹石,139.6390995,35.72158396
1311400300,13114,3,さぎのみやよんちょうめいせき,鷺宮四丁目遺跡,中野区 白鷺三丁目　 鷺宮四丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6329197,35.72300547
1311400400,13114,4,,中野区№4遺跡,中野区 白鷺二丁目,[縄文時代（草創期）],包蔵地,,縄文土器,139.634087,35.71993942
1311400500,13114,5,,中野区№5遺跡,中野区 白鷺二丁目,[旧石器時代],包蔵地,[旧石器時代]礫群,,139.6349453,35.72024603
1311400600,13114,6,,中野区№6遺跡,中野区 白鷺二丁目,[旧石器時代][縄文時代（早期・中期～後期）],包蔵地,,縄文土器　打製石斧,139.6360782,35.7208035
1311400700,13114,7,,中野区№7遺跡,中野区 白鷺三丁目,[縄文時代（晩期）],包蔵地,,縄文土器,139.6345676,35.72197418
1311400800,13114,8,,中野区№8遺跡,中野区 若宮一丁目,[縄文時代（後期）],包蔵地,,縄文土器　磨製石斧　石鏃　凹石　敲石　石棒,139.6473392,35.71684538
1311400900,13114,9,のがたごちょうめせいほういせき,野方五丁目西方遺跡,中野区 若宮一丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6501888,35.71720775
1311401000,13114,10,,中野区№10遺跡,中野区 若宮二丁目,[弥生時代],包蔵地,,弥生土器,139.6450046,35.71508925
1311401100,13114,11,,若宮遺跡,中野区 若宮二丁目　 若宮三丁目,[縄文時代（中期）],包蔵地,,縄文土器　石鏃　凹石　打製石斧,139.6410907,35.71952132
1311401200,13114,12,やまとちょうはちまんじんじゃいせき,大和町八幡神社遺跡,中野区 大和町二丁目,[縄文時代（中期）],包蔵地,,縄文土器　石棒,139.6508754,35.71402998
1311401300,13114,13,,中野区№13遺跡,中野区 大和町四丁目,[古墳時代],包蔵地,,土師器,139.6461376,35.71430874
1311401400,13114,14,だいばいせき,大場遺跡,中野区 野方二丁目,[縄文時代（前期～中期）],包蔵地,,縄文土器,139.6540354,35.71617321
1311401500,13114,15,のがたしょうぼうしゅっちょうじょなんぽういせき,野方消防出張所南方遺跡,中野区 野方三丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6577433,35.71831956
1311401600,13114,16,,中野区№16遺跡,中野区 野方三丁目,[縄文時代（晩期）],包蔵地,,縄文土器,139.6568507,35.71831956
1311401700,13114,17,きたはらいせき,北原遺跡,中野区 野方三丁目,[弥生時代],包蔵地,,弥生土器,139.6547564,35.71857042
1311401800,13114,18,,中野区№18遺跡,中野区 野方五丁目,[縄文時代（中期）][弥生時代],包蔵地,,縄文土器　弥生土器,139.6532787,35.71835061
1311401900,13114,19,,中野区№19遺跡,中野区 野方五丁目,[縄文時代（早期）],包蔵地,,縄文土器　礫器,139.6519054,35.717375
1311402000,13114,20,,中野区№20遺跡,中野区 丸山一丁目,[縄文時代（早期・後期）],包蔵地,,縄文土器　礫器,139.6545676,35.72606822
1311402100,13114,21,,中野区№21遺跡,中野区 丸山二丁目,[奈良時代][平安時代],包蔵地,,土師器,139.651718,35.72525995
1311402200,13114,22,,中野区№22遺跡,中野区 江古田一丁目,[平安時代],包蔵地,,蔵骨器,139.6745833,35.72425655
1311402300,13114,23,,中野区№23遺跡,中野区 江古田一丁目,[縄文時代（前期）],包蔵地,,縄文土器　石皿　砥石,139.6755789,35.72682075
1311402400,13114,24,,中野区№24遺跡,中野区 江古田一丁目　 江原町一丁目,[縄文時代],包蔵地,,打製石斧,139.6711844,35.72709946
1311402500,13114,25,みたけいせき,御嶽遺跡,中野区 江古田一丁目,[縄文時代（前期・後期）][弥生時代][近世],集落,[時代不明]竪穴住居跡,縄文土器　打製石斧　磨製石斧　石鏃　石皿　弥生土器　石棒　勾玉　寛永通宝,139.6718367,35.72523207
1311402600,13114,26,てらやまくぼでいたんいせき,寺山窪泥炭遺跡,中野区 江古田三丁目　 江原町二丁目,[縄文時代（前期）],包蔵地,,縄文土器　石皿　砥石,139.6692961,35.72787986
1311402700,13114,27,えごた（ほんたやま・てらやま・きたえごた・てらやまほくぶ・てらやまなんぶ）いせき,江古田（本田山・寺山・北江古田・寺山北部・寺山南部）遺跡,中野区 江古田二丁目　 江古田三丁目,[縄文時代（早期～後期）][弥生時代],集落,[縄文時代]竪穴住居址　集石　土坑　ピット状遺構　木道,縄文土器　打製石斧　磨製石斧　石鏃　石匙　石皿　磨石　凹石　敲石　耳飾　石棒　櫂　編籠,139.6661404,35.72901701
1311403100,13114,31,こくさいたんきだいがくふきんいせき,国際短期大学付近遺跡,中野区 江古田四丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6637343,35.72492548
1311403200,13114,32,じょうふうえんふきんいせき,浄風園付近遺跡,中野区 江古田四丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6630476,35.7268765
1311403300,13114,33,えごたはらいせき,江古田原遺跡,中野区 江原町一丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6748608,35.72737263
1311403400,13114,34,,中野区№34遺跡,中野区 江原町一丁目,[縄文時代],包蔵地,,石斧　石鏃　石皿　石棒,139.6725949,35.72723328
1311403500,13114,35,,中野区№35遺跡,中野区 江原町一丁目,[縄文時代],包蔵地,,磨製石斧,139.6728009,35.73124662
1311403600,13114,36,,中野区№36遺跡,中野区 江原町二丁目,[縄文時代（後期）][古墳時代],包蔵地,,縄文土器　石鏃　石片　石斧　石皿　土師器,139.6708783,35.73038265
1311403700,13114,37,,中野区№37遺跡,中野区 江原町二丁目,[縄文時代],包蔵地,,石斧　石鏃　石槌　石棒,139.6683034,35.7310794
1311403800,13114,38,えごたべんてんいせき,江古田弁天遺跡,中野区 江原町二丁目,[縄文時代（中期）],集落,[縄文時代]住居跡,縄文土器　打製石斧　磨製石斧　石鏃　石匙　石槌　凹石　石棒,139.668784,35.73211058
1311403900,13114,39,ほりのていかほういせき,堀野邸下方遺跡,中野区 江原町二丁目,[縄文時代],包蔵地,,縄文土器　石片,139.6700887,35.73160893
1311404000,13114,40,,中野区№38遺跡,中野区 江原町二丁目,[縄文時代（中期）],包蔵地,,縄文土器　石斧　石槍　石鏃　石匙,139.6713246,35.73174827
1311404100,13114,41,てんじんやまいせき,天神山遺跡,中野区 江原町二丁目,[縄文時代（中期）],集落,[縄文時代]竪穴住居跡,縄文土器　磨製石斧　石槍　石鏃　石匙　石片,139.669814,35.73238927
1311404200,13114,42,かたやまにしいせき,片山西遺跡,中野区 松が丘一丁目,[古墳時代][奈良時代],包蔵地,,,139.67115,35.7183753
1311404300,13114,43,てつがくどうこうえんないいせき,哲学堂公園内遺跡,中野区 松が丘一丁目,[縄文時代（中期）][近世],包蔵地,[近世]溝状遺構　道路状遺構,縄文土器　須恵器　陶磁器　土製品　石製品　銅製品　ガラス製品,139.6742399,35.72255633
1311404400,13114,44,かたやまいせき,片山遺跡,中野区 松が丘二丁目,[縄文時代（早期・後期）][弥生時代][中世][近世],集落,[弥生時代][古墳時代]竪穴住居跡　土坑　溝状遺構,縄文土器　打製石斧　磨製石斧　礫器　石鏃　砥石　弥生土器,139.6697081,35.72252846
1311404500,13114,45,,中野区№45遺跡,中野区 松が丘二丁目,[縄文時代（早期・後期）],包蔵地,,縄文土器,139.6702231,35.72342038
1311404600,13114,46,,中野区№46遺跡,中野区 沼袋一丁目,[縄文時代（中期～後期）],包蔵地,,縄文土器,139.6688841,35.71887704
1311404700,13114,47,ぬまぶくろちょうひかわじんじゃふきんいせき,沼袋町氷川神社付近遺跡,中野区 沼袋一丁目,[縄文時代（中期～後期）][弥生時代][古墳時代][奈良時代],集落,[時代不明]竪穴住居跡,縄文土器　石器　弥生土器　土師器　須恵器　蔵骨器　鉄滓,139.6667898,35.71985262
1311404800,13114,48,ていげんじふきんいせき,貞源寺付近遺跡,中野区 沼袋二丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6672362,35.72336464
1311404900,13114,49,ぜんじょういんいせき,禅定院遺跡,中野区 沼袋二丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6652792,35.72107906
