"JASID","時代","経度","緯度","中期"
1310100200,"[縄文時代（前期～晩期）]",139.7550845,35.6866013,1
1310100800,"[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代]",139.7510672,35.69479204,1
1310100900,"[縄文時代（中期）][弥生時代][平安時代]",139.7491794,35.69628581,1
1310101000,"[縄文時代（後期）][弥生時代（中期）][近世]",139.7438231,35.67281761,1
1310101100,"[縄文時代（中期）]",139.7395316,35.6742121,1
1310102200,"[旧石器時代][縄文時代（早期～後期）][弥生時代][古墳時代][中世][近世]",139.754735,35.69037522,1
1310104200,"[旧石器時代][縄文時代（早期・中期～後期）][弥生時代（後期）][中世][近世][近代]",139.7371627,35.68084957,1
1310105700,"[縄文時代（早期・中期・晩期）][近世]",139.7324409,35.68314519,1
1310107100,"[縄文時代（前期・中期・後期）][弥生時代（後期）][平安時代]",139.7500377,35.68272514,1
1310300100,"[縄文時代（早期・中期～後期）]",139.719524078993,35.6680171187889,1
1310303800,"[縄文時代（中期）]",139.72563522375,35.6604301748088,1
1310304500,"[縄文時代（前期・中期）][近世]",139.731010481376,35.6548082864047,1
1310304600,"[縄文時代（中期）]",139.732675596208,35.6534692449026,1
1310306400,"[縄文時代（中期）][奈良時代][平安時代][中世][近世]",139.7332249134,35.6323624246326,1
1310306500,"[縄文時代（中期）]",139.724298521144,35.6433699167102,1
1310307000,"[縄文時代（中期）]",139.730617028112,35.6386605400666,1
1310309900,"[縄文時代（前期～中期）][弥生時代][古墳時代]",139.740760847128,35.6631767884883,1
1310310000,"[縄文時代（前期～後期）][弥生時代][古墳時代][奈良時代][平安時代]",139.74316410706,35.665059580064,1
1310314901,"[縄文時代（中期～後期）][近世]",139.749117250543,35.6666611437705,1
1310401000,"[旧石器時代][縄文時代（中期?後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代]",139.6947029,35.70849936,1
1310401400,"[縄文時代（中期）]",139.7102829,35.68568879,1
1310401500,"[旧石器時代][縄文時代（前期～後期）][近世]",139.7282492,35.69941572,1
1310401700,"[縄文時代（前期、中期、後期）][弥生時代（後期）][古墳時代][奈良時代][近世]",139.7368646,35.69725793,1
1310402700,"[旧石器時代][縄文時代（中期）][近世]",139.7235352,35.68920231,1
1310403700,"[縄文時代（早期・中期）][近世]",139.7168778,35.69222771,1
1310403800,"[縄文時代（中期）][近世]",139.7252518,35.68931384,1
1310404000,"[縄文時代（前期～後期）][近世]",139.7328101,35.69031143,1
1310404300,"[旧石器時代][縄文時代（早期・中期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]",139.7008827,35.7061576,1
1310405400,"[縄文時代（前期～後期）][近世]",139.7231879,35.6941138,1
1310405500,"[縄文時代（中期～後期）][近世]",139.725204,35.696808,1
1310405900,"[縄文時代（中期）][近世]",139.7289597,35.68836577,1
1310406000,"[旧石器時代][縄文時代（早期?中期）][弥生時代（後期）][近世]",139.7176675,35.70731839,1
1310406100,"[旧石器時代][縄文時代（早期～晩期）][平安時代][近世]",139.7290067,35.69304468,1
1310406200,"[縄文時代（前期～中期）][近世]",139.7202736,35.68842154,1
1310406800,"[旧石器時代][縄文時代（前期?中期）][弥生時代（後期）][古墳時代][中世][近世]",139.689965,35.70440123,1
1310406900,"[縄文時代（早期?中期）][近世]",139.6869542,35.68300677,1
1310407700,"[旧石器時代][縄文時代（前期～中期）][古墳時代][奈良時代][平安時代]",139.690914,35.71507608,1
1310407900,"[旧石器時代][縄文時代（草創期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]",139.6947029,35.70590669,1
1310408000,"[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][近世]",139.7115907,35.71294957,1
1310408400,"[旧石器時代][縄文時代（中期）][近世]",139.71763,35.69486265,1
1310408800,"[旧石器時代][縄文時代（早期～後期）][近世]",139.7285411,35.69747797,1
1310409300,"[縄文時代（前期?中期）][近世]",139.7179047,35.68998307,1
1310410000,"[縄文時代（中期）][近世]",139.7383409,35.69852653,1
1310410300,"[旧石器時代][縄文時代（中期?後期）][奈良時代][平安時代][近世]",139.7218033,35.70478144,1
1310410400,"[縄文時代（前期～後期）][近世]",139.7200333,35.68376465,1
1310410700,"[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代]",139.6900837,35.70114116,1
1310411000,"[旧石器時代][縄文時代（早期～後期][近世]",139.7204484,35.69892663,1
1310411500,"[縄文時代（前期?中期）][古墳時代][中世][近世]",139.6884014,35.69609467,1
1310411700,"[縄文時代（前期～後期）][近世]",139.7289597,35.6907917,1
1310412400,"[縄文時代（中期～後期）][中世][近世]",139.7199646,35.68117118,1
1310412500,"[縄文時代（中期?晩期）][近世]",139.7238889,35.69891966,1
1310412600,"[縄文時代（前期～中期）][奈良時代][平安時代][近世]",139.7379333,35.70485643,1
1310412800,"[縄文時代（早期?中期）][中世][近世]",139.708635,35.69656346,1
1310413000,"[縄文時代（前期～中期）][古墳時代][奈良時代][近世]",139.7401134,35.70244486,1
1310414600,"[縄文時代（中期?後期）][近世]",139.725204,35.696808,1
1310415100,"[縄文時代（中期）][近世]",139.7128235,35.69218589,1
1310501400,"[旧石器時代][縄文時代（中期?晩期）][弥生時代][近世]",139.7560854,35.72972681,1
1310502100,"[旧石器時代][縄文時代（中期?晩期）][近世]",139.7455797,35.7204176,1
1310502600,"[旧石器時代][縄文時代（中期）][弥生時代][奈良時代][近世]",139.7412882,35.72300979,1
1310503200,"[縄文時代][弥生時代（中期）][近世]",139.7560854,35.70383111,1
1310505800,"[縄文時代（前期?中期）][奈良時代][平安時代][近世]",139.7568407,35.70266017,1
1310509700,"[旧石器時代][縄文時代（中期）][弥生時代（中期）][平安時代][近世]",139.7612503,35.72554791,1
1310511700,"[縄文時代（中期）][弥生時代（後期）][近世]",139.7595337,35.72526919,1
1310513100,"［縄文時代（早期・中期）］［弥生時代］[古墳時代][奈良時代]［近世］",139.7500773,35.71286351,1
1310900400,"[縄文時代（早期～中期）][弥生時代（後期）]",139.7229069,35.63109445,1
1310900600,"[縄文時代（中期）]",139.7229391,35.62535828,1
1310901000,"[縄文時代（早期～後期）][弥生時代][中世]",139.7245685,35.61720399,1
1310901400,"[縄文時代（中期～後期）][古墳時代]",139.7328131,35.60031371,1
1310901600,"[縄文時代（中期～晩期）]",139.7303114,35.59305438,1
1310902200,"[縄文時代（中期）]",139.7380697,35.60181908,1
1310903000,"[縄文時代（早期～後期）][古墳時代]",139.7289666,35.61491723,1
